database_ingredient,Energy,Protein,Total water,Thiamin (B1),Riboflavin (B2),Niacin,Pyridoxine (B6),Cobalamin (B12),Vitamin A,Vitamin C,Vitamin D,Vitamin E,Calcium,Phosphorus,Zinc,Iron,Magnesium,Sodium,Potassium
"Protein powder, whey based, protein >70%, unfortified",15.68,0.85,0.044,0.001,0.002,0.103,0.001,0.047,0.09,0,0.006,0,4.2,2.4,0.003,0.005,0.78,2,4.8
"Protein powder, whey based, protein >70%, unfortified, prepared with water",2.61,0.142,0.841,0,0,0.017,0,0.008,0.01,0,0.001,0,0.71,0.4,0,0.001,0.14,0.36,0.8
Cocoa powder,13.35,0.221,0.041,0,0.001,0.065,0.003,0,0.05,0,0,0.005,1.7,7.5,0.075,0.3,5.9,0.81,44
"Beverage base, chocolate flavour, added vitamins A, B1, B2, C & D, Ca & Fe (Milo)",16.66,0.127,0.012,0.002,0.018,0.154,0.02,0,5.65,0.44,0.135,0.002,7.38,4.2,0.018,0.18,0.8,0.75,8.25
"Beverage base, chocolate flavour, unfortified (Nesquik brand)",15.74,0.053,0.004,0,0.001,0.008,0,0,0,0,0,0.001,0.38,1.6,0.014,0.14,1.2,0,4.3
"Beverage, chocolate flavour, from Nesquik powder, with regular fat cows milk",3.44,0.034,0.831,0,0.002,0.008,0,0.004,0.42,0,0.001,0.001,1.02,0.92,0.004,0.008,0.16,0.33,1.58
"Beverage, chocolate flavour, from Milo powder, with regular fat cows milk",3.95,0.041,0.803,0,0.003,0.021,0.002,0.004,0.91,0.04,0.013,0.001,1.62,1.17,0.005,0.016,0.16,0.39,2.03
"Beverage base, drinking chocolate, unfortified",15.08,0.056,0.025,0,0.001,0.017,0,0,0.01,0,0,0.021,0.41,1.9,0.025,0.019,1.5,1.6,6.9
"Beverage, chocolate flavour, from drinking chocolate, with regular fat cows milk",3.56,0.035,0.821,0,0.002,0.009,0,0.003,0.41,0,0.001,0.002,1.01,0.94,0.005,0.002,0.2,0.44,1.8
"Coffee, instant, dry powder or granules",5.88,0.18,0.05,0,0.001,0.288,0,0,0,0,0,0.001,1.5,3.6,0.003,0.028,3.2,0.61,35
"Coffee, black, from instant coffee powder",0.05,0.002,0.992,0,0,0.003,0,0,0,0,0,0,0.03,0.03,0,0,0.04,0.03,0.31
"Coffee, instant, dry powder or granules, decaffeinated",5.22,0.18,0.05,0,0.001,0.288,0,0,0,0,0,0.001,1.5,3.6,0.003,0.028,3.2,0.61,35
"Coffee, black, from instant coffee powder, decaffeinated",0.05,0.002,0.992,0,0,0.003,0,0,0,0,0,0,0.03,0.03,0,0,0.04,0.03,0.31
"Coffee mix, with beverage whitener & sugar, dry powder",16.45,0.131,0.017,0,0.008,0.072,0,0.003,0,0.03,0.003,0,3.4,5.4,0.01,0.007,0.73,3.8,13
"Coffee, prepared from coffee mix with sugar & whitener, no added milk",0.82,0.006,0.951,0,0,0.004,0,0,0,0,0,0,0.18,0.27,0.001,0,0.05,0.22,0.65
"Coffee, espresso, from ground coffee beans",0.4,0.017,0.923,0,0,0.053,0,0,0,0,0,0,0.11,0.29,0.001,0,0.37,0.02,5.2
"Coffee, flat white/latte/cappuccino, from ground coffee beans, with regular fat cows milk",1.95,0.028,0.895,0,0.001,0.005,0,0.003,0.24,0,0.001,0,0.95,0.86,0.004,0,0.16,0.29,2.2
"Coffee, long black, from ground coffee beans",0.08,0.003,0.985,0,0,0.011,0,0,0,0,0,0,0.03,0.06,0,0,0.08,0.03,1.04
"Cordial base, 25% citrus fruit juice, regular",6.06,0,0.606,0,0,0.017,0,0,0.01,0.04,0,0,0.03,0.03,0,0,0.01,0.12,0.15
"Cordial, 25% citrus fruit juice, regular, recommended dilution",1.42,0,0.908,0,0,0.004,0,0,0,0.01,0,0,0.02,0.01,0,0,0.01,0.05,0.04
"Cordial base, 40% citrus fruit juice, regular",6.59,0.002,0.579,0,0,0.017,0,0,0.02,0.08,0,0,0.04,0.05,0,0.001,0.02,0.43,0.32
"Cordial, 40% citrus fruit juice, regular, recommended dilution",1.54,0,0.902,0,0,0.004,0,0,0,0.02,0,0,0.02,0.01,0,0,0.01,0.12,0.08
"Cordial base, blackcurrant juice, regular",7.31,0.001,0.54,0,0,0.002,0,0,0,0.74,0,0,0.06,0.05,0.001,0.003,0.03,0,0.54
"Cordial, blackcurrant juice, regular, recommended dilution",1.51,0,0.905,0,0,0,0,0,0,0.15,0,0,0.02,0.01,0,0.001,0.01,0.02,0.11
"Fruit drink, apple juice",1.37,0.001,0.911,0,0,0,0,0,0,0.31,0,0,0.02,0.02,0,0,0.02,0.05,0.47
"Fruit drink, cranberry",1.82,0,0.871,0,0,0.001,0.001,0,0.04,0.16,0,0.012,0.08,0.13,0.001,0.003,0.06,0.16,0.2
"Fruit drink, orange juice",1.63,0.002,0.894,0,0,0,0,0,0.08,0.05,0,0,0.08,0.06,0,0.001,0.05,0.09,0.72
"Juice, apple, commercial, added vitamin C",1.21,0.002,0.89,0,0.001,0.003,0,0,0,0.33,0,0,0.06,0.07,0,0.001,0.06,0.06,1.2
"Juice, apple & blackcurrant, commercial",1.62,0.002,0.892,0,0,0,0,0,0,0.27,0,0,0.05,0.05,0,0,0.04,0.06,0.94
"Juice, lemon",1.15,0.006,0.89,0,0,0.002,0.001,0,0.02,0.46,0,0.001,0.2,0.16,0.001,0.003,0.09,0.02,1.2
"Juice, lime",1.22,0.008,0.876,0,0,0.003,0,0,0.05,0.45,0,0.002,0.22,0.18,0.001,0.003,0.11,0.03,1.5
"Juice, orange, commercial",1.12,0.008,0.891,0.001,0,0,0,0,0.02,0.69,0,0.001,0.07,0.14,0,0,0.07,0.02,1.45
"Juice, orange & mango, commercial",1.46,0.006,0.903,0,0,0,0,0,0.08,0.82,0,0,0.09,0.16,0,0,0.09,0.04,1.6
"Water, coconut, commercial",0.54,0.002,0.952,0,0,0,0,0,0,0.1,0,0,0.12,0.09,0,0,0.09,0.36,2
"Mineral water, natural, unflavoured",0,0,1,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0.04,0.08,0.01
"Mineral water, citrus flavoured",1.52,0,0.903,0,0,0,0,0,0,0,0,0,0.05,0.01,0,0.001,0.04,0.15,0.05
"Soft drink, cola flavour",2.06,0,0.894,0,0,0,0,0,0,0,0,0,0.01,0.1,0,0,0,0.02,0
