database_ingredient,Energy,Protein,Total water,Thiamin (B1),Riboflavin (B2),Niacin,Pyridoxine (B6),Cobalamin (B12),Vitamin A,Vitamin C,Vitamin D,Vitamin E,Calcium,Phosphorus,Zinc,Iron,Magnesium,Sodium,Potassium
"Veal, steak, boneless, leg, untrimmed, grilled, no added fat",6.75,0.341,0.646,0.001,0.002,0.136,0.01,0.03,0.02,0,0.007,0.003,0.06,2.96,0.048,0.017,0.28,0.49,3.75
"Veal, stir-fry strips, lean, raw",5.36,0.272,0.732,0.001,0.002,0.197,0.008,0.016,0,0.01,0.038,0.005,0.07,2.8,0.047,0.015,0.28,0.56,4.2
"Veal, stir-fry strips, lean, stir-fried, no added fat",6.14,0.3,0.65,0.001,0.002,0.131,0.01,0.03,0.02,0,0.007,0.003,0.08,3.7,0.058,0.021,0.37,0.79,5.3
"Veal, stir-fry strips, untrimmed, raw",5.51,0.271,0.728,0.001,0.002,0.195,0.008,0.016,0,0.01,0.038,0.005,0.07,2.77,0.047,0.015,0.28,0.55,4.16
"Veal, stir-fry strips, untrimmed, stir-fried, no added fat",6.23,0.299,0.648,0.001,0.002,0.131,0.01,0.03,0.02,0,0.007,0.003,0.08,3.67,0.058,0.021,0.37,0.78,5.26
"Lamb, all cuts, separable fat, raw",23.15,0.108,0.31,0,0.001,0.036,0.001,0.029,0.34,0,0.007,0.011,0.05,0.56,0.005,0.004,0.06,0.22,0.91
"Lamb, all cuts, separable fat, cooked",22.51,0.162,0.304,0,0,0.094,0.001,0.03,0.42,0,0.016,0.008,0.06,0.82,0.01,0.007,0.08,0.28,1.1
"Lamb, boneless, fillet or loin, untrimmed, raw",5.64,0.199,0.711,0.001,0.002,0.084,0.001,0.01,0.05,0,0.029,0.007,0.05,2.32,0.025,0.019,0.24,0.67,3.54
"Lamb, boneless, fillet or loin, untrimmed, grilled, no added fat",6.99,0.269,0.627,0.001,0.003,0.103,0.001,0.012,0.08,0,0.015,0.007,0.07,2.56,0.033,0.025,0.28,0.68,3.64
"Lamb, boneless, fillet or loin, lean, raw",4.91,0.203,0.728,0.001,0.003,0.086,0.001,0.009,0.04,0,0.03,0.006,0.05,2.4,0.026,0.02,0.24,0.69,3.65
"Lamb, boneless, fillet or loin, lean, grilled, no added fat",6.67,0.272,0.634,0.001,0.003,0.103,0.001,0.012,0.08,0,0.015,0.007,0.08,2.6,0.034,0.026,0.28,0.69,3.7
"Lamb, chop, with bone, loin or chump, lean, raw",6.06,0.256,0.703,0.001,0.002,0.107,0.002,0.01,0.09,0,0.03,0.005,0.07,2.95,0.032,0.025,0.3,0.68,3.4
"Lamb, chop, with bone, loin or chump, lean, grilled, no added fat",9,0.32,0.595,0.002,0.003,0.115,0.001,0.021,0.08,0,0.015,0.002,0.11,2.7,0.05,0.03,0.32,0.7,3.3
"Lamb, chop, with bone, loin or chump, semi-trimmed, raw",8.04,0.238,0.657,0.001,0.002,0.099,0.002,0.012,0.12,0,0.027,0.005,0.07,2.67,0.029,0.023,0.27,0.63,3.11
"Lamb, chop, with bone, loin or chump, semi-trimmed, grilled, no added fat",10.42,0.302,0.565,0.001,0.003,0.113,0.001,0.022,0.11,0,0.015,0.003,0.1,2.5,0.046,0.027,0.29,0.65,3.06
"Lamb, chop, with bone, loin or chump, untrimmed, raw",11.28,0.208,0.583,0.001,0.002,0.085,0.001,0.016,0.16,0,0.023,0.007,0.06,2.25,0.024,0.019,0.22,0.54,2.64
"Lamb, chop, with bone, loin or chump, untrimmed, grilled, no added fat",12.02,0.284,0.53,0.001,0.003,0.11,0.001,0.023,0.15,0,0.015,0.003,0.1,2.28,0.041,0.024,0.27,0.6,2.81
"Lamb, chop, with bone, chump, lean, raw",5.42,0.225,0.726,0.002,0.003,0.099,0.001,0.013,0.09,0,0.03,0.004,0.06,3.5,0.036,0.031,0.3,0.65,3.5
"Lamb, chop, with bone, chump, lean, grilled, no added fat",9.57,0.341,0.577,0.002,0.004,0.117,0.001,0.03,0.08,0,0.015,0.002,0.11,2.8,0.058,0.031,0.32,0.65,3.3
"Lamb, chop, with bone, chump, semi-trimmed, raw",7.53,0.211,0.676,0.001,0.002,0.091,0.001,0.015,0.12,0,0.027,0.005,0.06,3.15,0.032,0.028,0.27,0.6,3.19
"Lamb, chop, with bone, chump, semi-trimmed, grilled, no added fat",11.32,0.317,0.54,0.001,0.004,0.114,0.001,0.03,0.12,0,0.015,0.003,0.1,2.53,0.052,0.028,0.29,0.6,3
"Lamb, chop, with bone, chump, untrimmed, raw",9.81,0.196,0.622,0.001,0.002,0.083,0.001,0.017,0.15,0,0.024,0.006,0.06,2.77,0.028,0.024,0.24,0.54,2.86
"Lamb, chop, with bone, chump, untrimmed, grilled, no added fat",12.51,0.3,0.515,0.001,0.003,0.112,0.001,0.03,0.15,0,0.015,0.003,0.1,2.35,0.047,0.026,0.27,0.57,2.8
"Lamb, diced, lean, raw",5.54,0.213,0.722,0.001,0.002,0.077,0.001,0.008,0.09,0,0.03,0.004,0.05,2.5,0.043,0.022,0.27,0.53,3.4
"Lamb, diced, lean, stir-fried, no added fat",7.73,0.313,0.62,0.001,0.003,0.099,0.001,0.022,0.08,0,0.015,0.002,0.05,2.9,0.026,0.037,0.27,0.59,3.9
"Lamb, diced, lean, casseroled, no added fat",7.76,0.322,0.598,0.001,0.002,0.11,0.001,0.006,0.09,0,0.04,0.005,0.08,2.39,0.06,0.031,0.26,0.43,2.75
"Lamb, diced, untrimmed, raw",5.88,0.211,0.714,0.001,0.002,0.076,0.001,0.008,0.09,0,0.03,0.004,0.05,2.46,0.042,0.022,0.26,0.52,3.35
"Lamb, diced, untrimmed, stir-fried, no added fat",8.06,0.31,0.613,0.001,0.003,0.099,0.001,0.022,0.08,0,0.015,0.002,0.05,2.85,0.026,0.036,0.26,0.58,3.84
"Lamb, diced, untrimmed, casseroled, no added fat",8.09,0.318,0.592,0.001,0.002,0.109,0.001,0.007,0.1,0,0.039,0.005,0.08,2.35,0.059,0.03,0.25,0.42,2.71
"Lamb, boneless dice or strips, lean, raw",5.41,0.216,0.724,0.001,0.002,0.076,0.001,0.008,0.09,0,0.03,0.004,0.05,2.5,0.043,0.022,0.27,0.53,3.4
"Lamb, boneless dice or strips, lean, stir-fried, no added fat",7.68,0.297,0.62,0.001,0.003,0.097,0.001,0.022,0.08,0,0.015,0.002,0.05,2.9,0.026,0.037,0.27,0.59,3.9
"Lamb, boneless dice or strips, lean, casseroled, no added fat",7.76,0.322,0.598,0.001,0.002,0.11,0.001,0.006,0.09,0,0.04,0.005,0.08,2.39,0.06,0.031,0.26,0.43,2.75
"Lamb, boneless dice or strips, untrimmed, raw",5.83,0.213,0.714,0.001,0.002,0.075,0.001,0.008,0.09,0,0.029,0.004,0.05,2.45,0.042,0.022,0.26,0.52,3.34
"Lamb, boneless dice or strips, untrimmed, stir-fried, no added fat",7.93,0.294,0.615,0.001,0.003,0.097,0.001,0.023,0.08,0,0.015,0.002,0.05,2.86,0.026,0.037,0.27,0.58,3.85
"Lamb, boneless dice or strips, untrimmed, casseroled, no added fat",8.02,0.319,0.593,0.001,0.002,0.11,0.001,0.006,0.1,0,0.039,0.005,0.08,2.36,0.059,0.03,0.26,0.43,2.72
"Lamb, eye of loin, lean, raw",4.98,0.208,0.727,0.001,0.002,0.094,0.001,0.006,0,0,0.03,0.005,0.05,2.3,0.022,0.019,0.25,0.69,3.6
"Lamb, eye of loin, lean, microwaved, no added fat",6.63,0.268,0.637,0.002,0.003,0.105,0.001,0.008,0.08,0,0.015,0.005,0.09,2.4,0.029,0.023,0.26,0.63,3.3
"Lamb, eye of loin, untrimmed, raw",5.45,0.206,0.716,0.001,0.002,0.093,0.001,0.006,0.01,0,0.029,0.006,0.05,2.25,0.022,0.019,0.24,0.68,3.53
"Lamb, eye of loin, untrimmed, microwaved, no added fat",6.91,0.266,0.631,0.002,0.003,0.105,0.001,0.009,0.08,0,0.015,0.005,0.09,2.37,0.029,0.023,0.26,0.62,3.26
"Lamb, roasting piece, shoulder, lean, raw",4.68,0.182,0.736,0.001,0.002,0.085,0.003,0.027,0.09,0,0.015,0.005,0.07,2.5,0.055,0.022,0.26,0.53,3.4
"Lamb, roasting piece, shoulder, lean, roasted, no added fat",7.03,0.296,0.629,0.001,0.003,0.098,0.003,0.032,0.08,0,0.015,0.002,0.06,2.2,0.067,0.022,0.24,0.69,2.8
"Lamb, roasting piece, shoulder, semi-trimmed, raw",6.95,0.173,0.684,0.001,0.002,0.079,0.003,0.027,0.12,0,0.014,0.006,0.07,2.26,0.049,0.02,0.24,0.49,3.09
"Lamb, roasting piece, shoulder, semi-trimmed, roasted, no added fat",8.59,0.282,0.596,0.001,0.003,0.098,0.002,0.032,0.11,0,0.015,0.003,0.06,2.06,0.061,0.02,0.22,0.65,2.63
"Lamb, roasting piece, shoulder, untrimmed, raw",8.94,0.165,0.638,0.001,0.002,0.074,0.003,0.028,0.14,0,0.013,0.006,0.06,2.05,0.044,0.018,0.21,0.46,2.83
"Lamb, roasting piece, shoulder, untrimmed, roasted, no added fat",10.95,0.262,0.547,0.001,0.002,0.097,0.002,0.031,0.16,0,0.015,0.004,0.06,1.85,0.053,0.018,0.2,0.59,2.37
"Lamb, chop, with bone, forequarter, lean, raw",5.59,0.205,0.73,0.001,0.003,0.073,0.003,0.013,0.09,0,0.03,0.005,0.1,2.2,0.054,0.016,0.27,0.72,3.3
"Lamb, chop, with bone, forequarter, lean, grilled, no added fat",8.98,0.28,0.61,0.001,0.003,0.096,0.003,0.027,0.08,0,0.015,0.002,0.08,2.1,0.05,0.015,0.28,0.67,3.5
"Lamb, chop, with bone, forequarter, semi-trimmed, raw",9.71,0.182,0.631,0.001,0.002,0.064,0.003,0.017,0.14,0,0.025,0.006,0.09,1.82,0.043,0.013,0.22,0.6,2.74
"Lamb, chop, with bone, forequarter, semi-trimmed, grilled, no added fat",11.08,0.262,0.562,0.001,0.003,0.096,0.002,0.027,0.13,0,0.015,0.003,0.07,1.9,0.044,0.014,0.25,0.61,3.13
"Lamb, chop, with bone, forequarter, untrimmed, raw",11.26,0.174,0.594,0.001,0.002,0.061,0.002,0.018,0.17,0,0.023,0.007,0.08,1.67,0.038,0.012,0.2,0.56,2.53
"Lamb, chop, with bone, forequarter, grilled, no added fat",11.72,0.256,0.547,0.001,0.003,0.095,0.002,0.028,0.14,0,0.015,0.003,0.07,1.84,0.042,0.013,0.24,0.59,3.01
"Lamb, cutlet or frenched cutlet, with bone, lean, raw",5.85,0.209,0.721,0.001,0.003,0.099,0.001,0.006,0.09,0,0.03,0.005,0.09,2.3,0.029,0.021,0.3,0.64,3.5
"Lamb, cutlet or frenched cutlet, with bone, lean, grilled, no added fat",8.37,0.305,0.604,0.002,0.004,0.123,0.001,0.01,0.08,0,0.015,0.002,0.1,2.4,0.043,0.026,0.3,0.66,3.2
"Lamb, cutlet or frenched cutlet, with bone, semi-trimmed, raw",8.9,0.191,0.648,0.001,0.002,0.088,0.001,0.01,0.13,0,0.026,0.006,0.09,1.99,0.025,0.018,0.26,0.56,3.04
"Lamb, cutlet or frenched cutlet, with bone, semi-trimmed, grilled, no added fat",11.06,0.278,0.546,0.002,0.003,0.117,0.001,0.014,0.14,0,0.015,0.003,0.09,2.1,0.037,0.022,0.26,0.59,2.8
"Lamb, cutlet or frenched cutlet, with bone, untrimmed, raw",9.76,0.186,0.628,0.001,0.002,0.085,0.001,0.011,0.14,0,0.025,0.006,0.08,1.9,0.024,0.017,0.24,0.54,2.91
"Lamb, cutlet or frenched cutlet, with bone, untrimmed, grilled, no added fat",11.63,0.272,0.534,0.002,0.003,0.116,0.001,0.015,0.16,0,0.015,0.003,0.09,2.04,0.035,0.022,0.25,0.57,2.72
"Lamb, fillet, lean, raw",4.85,0.198,0.728,0.001,0.003,0.079,0.001,0.013,0.09,0,0.03,0.007,0.05,2.5,0.029,0.021,0.24,0.69,3.7
"Lamb, fillet, lean, grilled, no added fat",6.71,0.275,0.63,0.001,0.004,0.101,0.001,0.016,0.08,0,0.015,0.009,0.06,2.8,0.038,0.028,0.3,0.75,4.1
"Lamb, fillet, untrimmed, raw",5.84,0.193,0.705,0.001,0.003,0.076,0.001,0.014,0.1,0,0.029,0.008,0.05,2.4,0.028,0.02,0.23,0.66,3.55
"Lamb, fillet, untrimmed, grilled, no added fat",7.07,0.272,0.622,0.001,0.004,0.101,0.001,0.016,0.08,0,0.015,0.009,0.06,2.75,0.037,0.028,0.3,0.74,4.03
"Lamb, leg roast, lean, raw",4.77,0.211,0.727,0.001,0.002,0.076,0.001,0.008,0.09,0,0.03,0.004,0.06,2.4,0.041,0.021,0.3,0.68,3.5
"Lamb, leg roast, lean, roasted, no added fat",7.42,0.306,0.614,0.001,0.003,0.098,0.001,0.022,0.08,0,0.015,0.002,0.06,3.4,0.053,0.026,0.29,0.65,3.1
"Lamb, leg roast, semi-trimmed, raw",6.04,0.204,0.698,0.001,0.002,0.074,0.001,0.009,0.1,0,0.028,0.005,0.06,2.27,0.039,0.02,0.28,0.65,3.32
"Lamb, leg roast, semi-trimmed, roasted, no added fat",8.4,0.297,0.594,0.001,0.003,0.097,0.001,0.022,0.1,0,0.015,0.002,0.06,3.23,0.05,0.025,0.28,0.62,2.97
"Lamb, leg roast, untrimmed, raw",7.86,0.194,0.657,0.001,0.002,0.07,0.001,0.012,0.13,0,0.026,0.005,0.06,2.09,0.035,0.018,0.26,0.6,3.06
"Lamb, leg roast, untrimmed, roasted, no added fat",9.58,0.285,0.57,0.001,0.003,0.097,0.001,0.023,0.12,0,0.015,0.003,0.06,3.03,0.047,0.023,0.26,0.6,2.81
"Lamb, loin chop, lean, raw",6.71,0.286,0.68,0.001,0.002,0.116,0.002,0.006,0.09,0,0.03,0.005,0.08,2.4,0.028,0.019,0.3,0.71,3.3
"Lamb, loin chop, lean, grilled, no added fat",8.43,0.298,0.614,0.001,0.003,0.113,0.001,0.012,0.08,0,0.015,0.002,0.11,2.6,0.042,0.028,0.32,0.74,3.3
"Lamb, loin chop, semi-trimmed, raw",8.56,0.266,0.639,0.001,0.002,0.107,0.002,0.008,0.11,0,0.027,0.006,0.08,2.19,0.025,0.017,0.27,0.65,3.03
"Lamb, loin chop, semi-trimmed, grilled, no added fat",9.53,0.287,0.589,0.001,0.003,0.112,0.001,0.013,0.1,0,0.015,0.003,0.11,2.46,0.04,0.026,0.3,0.7,3.13
"Lamb, loin chop, untrimmed, raw",12.76,0.22,0.544,0.001,0.002,0.086,0.002,0.014,0.18,0,0.022,0.007,0.07,1.72,0.02,0.014,0.21,0.53,2.42
"Lamb, loin chop, untrimmed, grilled, no added fat",11.54,0.268,0.545,0.001,0.002,0.109,0.001,0.016,0.15,0,0.015,0.003,0.1,2.21,0.035,0.023,0.27,0.64,2.81
"Lamb, mince, raw",6.02,0.204,0.716,0.001,0.002,0.142,0.006,0.017,0.12,0,0.03,0.007,0.13,1.95,0.037,0.018,0.2,0.57,2.7
"Lamb, mince, stir-fried, no added fat",7.29,0.244,0.643,0.002,0.003,0.112,0.001,0.021,0.11,0,0.008,0.004,0.11,2.06,0.048,0.05,0.28,0.74,2.91
"Lamb, mini roast, lean, roasted, no added fat",6.8,0.278,0.64,0.002,0.003,0.096,0.001,0.023,0.08,0,0.015,0.003,0.05,2.3,0.047,0.027,0.24,0.58,2.7
"Lamb, mini roast, semi-trimmed, roasted, no added fat",7.79,0.271,0.619,0.001,0.003,0.096,0.001,0.023,0.1,0,0.015,0.003,0.05,2.21,0.045,0.026,0.23,0.56,2.6
"Lamb, mini roast, untrimmed, roasted, no added fat",8.58,0.265,0.602,0.001,0.003,0.096,0.001,0.024,0.11,0,0.015,0.004,0.05,2.13,0.043,0.025,0.22,0.55,2.52
"Lamb, roasting piece, leg or mini roast, lean, raw",5.12,0.215,0.728,0.001,0.002,0.077,0.001,0.008,0.09,0,0.03,0.004,0.05,2.25,0.038,0.022,0.26,0.66,3.25
"Lamb, roasting piece, leg or mini roast, lean, roasted, no added fat",7.11,0.292,0.627,0.001,0.003,0.097,0.001,0.022,0.08,0,0.015,0.003,0.05,2.85,0.05,0.027,0.26,0.62,2.9
"Lamb, roasting piece, leg or mini roast, semi-trimmed, raw",6.33,0.208,0.699,0.001,0.002,0.074,0.001,0.009,0.1,0,0.028,0.005,0.05,2.14,0.035,0.02,0.25,0.62,3.09
"Lamb, roasting piece, leg or mini roast, semi-trimmed, roasted, no added fat",8.1,0.284,0.606,0.001,0.003,0.097,0.001,0.023,0.1,0,0.015,0.003,0.05,2.72,0.047,0.025,0.25,0.59,2.78
"Lamb, roasting piece, leg or mini roast, untrimmed, raw",7.84,0.199,0.664,0.001,0.002,0.07,0.001,0.011,0.12,0,0.027,0.005,0.05,1.99,0.033,0.019,0.23,0.59,2.89
"Lamb, roasting piece, leg or mini roast, untrimmed, roasted, no added fat",9.08,0.275,0.586,0.001,0.003,0.097,0.001,0.023,0.12,0,0.015,0.003,0.05,2.58,0.045,0.024,0.24,0.57,2.67
"Lamb, steak, boneless, lean, raw",5.46,0.219,0.728,0.001,0.002,0.077,0.001,0.008,0.09,0,0.03,0.004,0.04,2.1,0.034,0.022,0.23,0.63,3
"Lamb, steak, boneless, lean, grilled, no added fat",7.69,0.308,0.617,0.001,0.003,0.108,0.001,0.008,0.09,0,0.038,0.005,0.06,2.51,0.048,0.029,0.28,0.75,3.59
"Lamb, steak, boneless, semi-trimmed, raw",6.62,0.212,0.701,0.001,0.002,0.074,0.001,0.009,0.1,0,0.029,0.004,0.04,2,0.032,0.021,0.22,0.6,2.86
"Lamb, steak, boneless, semi-trimmed, grilled, no added fat",8.63,0.299,0.597,0.001,0.002,0.107,0.001,0.01,0.11,0,0.037,0.005,0.06,2.41,0.046,0.028,0.26,0.72,3.43
"Lamb, steak, boneless, untrimmed, raw",7.82,0.204,0.672,0.001,0.002,0.071,0.001,0.01,0.12,0,0.027,0.005,0.04,1.89,0.03,0.02,0.21,0.58,2.72
"Lamb, steak, boneless, untrimmed, grilled, no added fat",9.37,0.292,0.582,0.001,0.002,0.106,0.001,0.011,0.13,0,0.036,0.005,0.06,2.32,0.044,0.027,0.25,0.7,3.31
"Lamb, with bone, shin, lean, raw",4.77,0.239,0.724,0.001,0.002,0.075,0.001,0.008,0,0,0.03,0.003,0.15,2.4,0.057,0.019,0.24,1.1,3.5
"Lamb, with bone, shin, lean, casseroled, no added fat",7.55,0.346,0.611,0,0.002,0.078,0.001,0.022,0,0,0.015,0.002,0.2,3.4,0.1,0.036,0.25,0.83,2.6
"Lamb, with bone, shin, semi-trimmed, raw",6.17,0.229,0.692,0,0.002,0.072,0.001,0.01,0.03,0,0.028,0.004,0.14,2.26,0.053,0.018,0.22,1.03,3.3
"Lamb, with bone, shin, semi-trimmed, casseroled, no added fat",8.52,0.334,0.591,0,0.002,0.079,0.001,0.022,0.03,0,0.015,0.002,0.19,3.23,0.094,0.034,0.24,0.79,2.5
"Lamb, with bone, shin, untrimmed, raw",7.85,0.217,0.654,0,0.002,0.068,0.001,0.012,0.06,0,0.026,0.004,0.13,2.09,0.048,0.017,0.21,0.95,3.06
"Lamb, with bone, shin, untrimmed, casseroled, no added fat",9.65,0.32,0.568,0,0.002,0.08,0.001,0.023,0.06,0,0.015,0.003,0.18,3.04,0.087,0.032,0.23,0.75,2.39
"Lamb, stir-fry strips, lean, raw",5.28,0.219,0.727,0.001,0.002,0.075,0.001,0.007,0.09,0,0.03,0.004,0.05,2.5,0.043,0.022,0.27,0.53,3.4
"Lamb, stir-fry strips, lean, stir-fried, no added fat",7.63,0.281,0.62,0.002,0.003,0.096,0.001,0.023,0.08,0,0.015,0.002,0.05,2.9,0.026,0.037,0.27,0.59,3.9
"Lamb, stir-fry strips, lean, casseroled, no added fat",7.76,0.322,0.598,0.001,0.002,0.11,0.001,0.006,0.09,0,0.04,0.005,0.08,2.39,0.06,0.031,0.26,0.43,2.75
"Lamb, stir-fry strips, untrimmed, raw",5.78,0.216,0.715,0.001,0.002,0.074,0.001,0.008,0.09,0,0.029,0.004,0.05,2.44,0.042,0.022,0.26,0.52,3.33
"Lamb, stir-fry strips, untrimmed, stir-fried, no added fat",7.81,0.28,0.616,0.001,0.003,0.096,0.001,0.023,0.08,0,0.015,0.002,0.05,2.87,0.026,0.037,0.27,0.59,3.86
"Lamb, stir-fry strips, untrimmed, casseroled, no added fat",7.94,0.32,0.595,0.001,0.002,0.11,0.001,0.006,0.1,0,0.039,0.005,0.08,2.37,0.059,0.03,0.26,0.43,2.73
"Mutton, all cuts, separable fat, raw",25.22,0.082,0.264,0,0.001,0.062,0.001,0.029,0.64,0,0.007,0.007,0.1,0.88,0.01,0.008,0.08,0.33,1.3
"Mutton, all cuts, separable fat, cooked",26.94,0.107,0.2,0,0.001,0.056,0.003,0.013,0.06,0,0.016,0.006,0.08,2.7,0.059,0.034,0.26,0.64,3.1
"Mutton, boneless dice or strips, shoulder, lean, raw",5.18,0.213,0.724,0.002,0.003,0.112,0.008,0.028,0.08,0,0.03,0.002,0.05,2.2,0.029,0.022,0.21,0.61,2.8
"Mutton, boneless dice or strips, shoulder, lean, casseroled, no added fat",10.41,0.364,0.509,0,0,0.074,0.005,0.019,0.08,0,0.015,0.008,0.2,3.3,0.089,0.057,0.32,0.66,3.5
"Mutton, boneless dice or strips, shoulder, semi-trimmed, raw",6.78,0.202,0.688,0.001,0.002,0.108,0.007,0.028,0.12,0,0.028,0.002,0.05,2.09,0.028,0.021,0.2,0.59,2.68
"Mutton, boneless dice or strips, shoulder, semi-trimmed, casseroled, no added fat",11.15,0.352,0.495,0,0,0.073,0.005,0.019,0.08,0,0.015,0.008,0.19,3.27,0.088,0.056,0.32,0.66,3.48
"Mutton, boneless dice or strips, shoulder, untrimmed, raw",7.16,0.2,0.679,0.001,0.002,0.107,0.007,0.028,0.13,0,0.028,0.003,0.05,2.07,0.027,0.021,0.2,0.58,2.65
"Mutton, boneless dice or strips, shoulder, untrimmed, casseroled, no added fat",11.37,0.349,0.491,0,0,0.073,0.005,0.019,0.08,0,0.015,0.008,0.19,3.26,0.087,0.056,0.32,0.66,3.48
"Mutton, roasting piece, with bone, leg, lean, raw",5.09,0.216,0.724,0.002,0.003,0.112,0.008,0.028,0.08,0,0.03,0.002,0.08,3.6,0.049,0.043,0.35,0.8,3.4
"Mutton, roasting piece, with bone, leg, lean, roasted, no added fat",7.92,0.298,0.652,0,0,0.064,0.005,0.019,0.08,0,0.007,0.008,0.08,2.4,0.059,0.034,0.24,0.56,2.8
"Mutton, roasting piece, with bone, leg, semi-trimmed, raw",6.34,0.208,0.696,0.002,0.002,0.109,0.008,0.028,0.11,0,0.029,0.002,0.08,3.43,0.047,0.041,0.33,0.77,3.27
"Mutton, roasting piece, with bone, leg, semi-trimmed, roasted, no added fat",9.19,0.285,0.622,0,0,0.064,0.005,0.018,0.08,0,0.008,0.008,0.08,2.42,0.059,0.034,0.24,0.56,2.82
"Mutton, roasting piece, with bone, leg, untrimmed, raw",8.11,0.196,0.655,0.001,0.002,0.105,0.007,0.028,0.16,0,0.027,0.003,0.08,3.19,0.043,0.038,0.31,0.73,3.08
"Mutton, roasting piece, with bone, leg, untrimmed, roasted, no added fat",10.92,0.268,0.58,0,0,0.063,0.005,0.018,0.08,0,0.008,0.008,0.08,2.45,0.059,0.034,0.24,0.57,2.85
"Goat, all cuts, separable fat, raw",18.55,0.122,0.454,0,0,0.032,0,0.015,0.66,0,0.035,0.037,0.13,0.78,0.012,0.02,0.07,0.45,1.25
"Goat, all cuts, separable fat, baked, no added fat",25.56,0.1,0.264,0,0,0.084,0.001,0.03,0.42,0,0.042,0.008,0.07,1.03,0.027,0.013,0.12,0.4,1.75
"Goat, forequarter, lean, raw",4.32,0.216,0.746,0.001,0.001,0.064,0,0.013,0.06,0,0.027,0.013,0.1,1.8,0.051,0.024,0.2,0.74,3.15
"Goat, forequarter, lean, baked, no added fat",6.76,0.308,0.644,0.001,0.001,0.078,0,0.028,0.06,0,0.022,0.017,0.1,1.95,0.076,0.034,0.23,0.74,3.05
"Goat, leg, lean, raw",4.56,0.222,0.75,0.001,0.001,0.07,0,0.01,0,0,0.027,0.006,0.06,1.9,0.039,0.025,0.22,0.64,3.4
"Goat, leg, lean, baked, no added fat",6.95,0.338,0.636,0.001,0.001,0.086,0,0.027,0,0,0.022,0.005,0.08,2.25,0.062,0.039,0.26,0.6,3.35
"Goat, loin, lean, raw",4.32,0.222,0.752,0.001,0.001,0.073,0.001,0.006,0,0,0.027,0.001,0.1,1.85,0.035,0.03,0.22,0.76,3.4
"Goat, loin, lean, baked, no added fat",6.12,0.292,0.676,0.001,0,0.085,0,0.023,0,0,0.022,0.001,0.16,1.85,0.042,0.03,0.22,0.84,3.2
"Goat, meat, all cuts, lean, raw",4.4,0.22,0.749,0.001,0.001,0.069,0,0.01,0.02,0,0.027,0.007,0.09,1.85,0.042,0.026,0.21,0.72,3.32
"Goat, meat, all cuts, lean, baked, no added fat",6.61,0.313,0.652,0.001,0,0.083,0,0.026,0.02,0,0.022,0.007,0.11,2.02,0.06,0.034,0.23,0.73,3.2
"Goat, meat, all cuts, lean, casseroled, no added fat",8.71,0.436,0.503,0.001,0.001,0.137,0,0.011,0.03,0,0.048,0.01,0.17,2.38,0.078,0.049,0.27,0.78,3.61
"Goat, meat, all cuts, untrimmed, raw",5.66,0.212,0.723,0.001,0.001,0.066,0,0.01,0.08,0,0.028,0.009,0.09,1.75,0.039,0.026,0.2,0.69,3.13
"Goat, meat, all cuts, untrimmed, casseroled, no added fat ",10.11,0.378,0.505,0.001,0.001,0.117,0,0.011,0.1,0,0.045,0.013,0.16,2.04,0.066,0.043,0.23,0.68,3.08
"Goat, meat, all cuts, untrimmed, baked, no added fat",8.47,0.292,0.614,0,0,0.083,0,0.026,0.06,0,0.024,0.007,0.11,1.92,0.056,0.032,0.22,0.7,3.06
"Pork, belly, rind removed, raw",12.86,0.186,0.544,0.006,0.001,0.069,0.001,0.004,0.15,0,0.017,0.003,0.06,1.4,0.014,0.005,0.15,0.58,2.5
"Pork, belly, rind removed, baked, no added fat",16.06,0.274,0.406,0.005,0.001,0.091,0.001,0.004,0.16,0,0.023,0.004,0.08,1.75,0.021,0.007,0.16,0.68,2.94
"Pork, butterfly steak, lean, raw",4.69,0.241,0.744,0.008,0,0.142,0.006,0.002,0,0,0.004,0.002,0.06,2.4,0.016,0.005,0.26,0.46,4.2
"Pork, butterfly steak, lean, grilled, no added fat",6.56,0.325,0.626,0.014,0.001,0.147,0.005,0.003,0,0,0.004,0,0.06,2.6,0.026,0.007,0.29,0.46,4.5
"Pork, butterfly steak, untrimmed, raw",6.43,0.227,0.706,0.008,0,0.135,0.005,0.003,0.02,0,0.008,0.002,0.06,2.28,0.015,0.005,0.25,0.44,3.98
"Pork, butterfly steak, untrimmed, grilled, no added fat",8.25,0.306,0.592,0.013,0.001,0.139,0.004,0.004,0.01,0,0.009,0,0.07,2.5,0.024,0.007,0.27,0.45,4.27
"Pork, diced, untrimmed, raw",5.02,0.228,0.743,0.007,0.003,0.137,0.004,0.005,0,0,0.004,0.002,0.06,2.3,0.024,0.008,0.27,0.59,4.65
"Pork, diced, untrimmed, fried, no added fat",6.47,0.313,0.644,0.009,0.003,0.117,0.004,0.007,0,0,0.004,0,0.07,2.2,0.038,0.012,0.3,0.9,4.65
"Pork, fillet, lean, raw",4.33,0.231,0.743,0.015,0,0.143,0.007,0.003,0,0,0.004,0.003,0.04,2.4,0.018,0.009,0.26,0.42,3.9
"Pork, fillet, fully-trimmed, baked, no added fat",5.66,0.285,0.66,0.015,0,0.164,0.006,0.002,0,0,0.004,0.001,0.04,2.7,0.024,0.01,0.27,0.44,3.9
