Gender,Age,Nutrient,Measurement,Total/day
male,51-70,Niacin,mg,16.0
male,51-70,Pyridoxine (B6),mg,1.7
male,51-70,Cobalamin (B12),μg,2.4
male,51-70,Vitamin A,μg,900.0
male,51-70,Vitamin C,mg,45.0
male,51-70,Vitamin D,μg,10.0
male,51-70,Vitamin E,mg,10.0
male,51-70,Calcium,mg,1000.0
male,51-70,Phosphorus,mg,1000.0
male,51-70,Zinc,mg,14.0
male,51-70,Iron,mg,8.0
male,51-70,Magnesium,mg,420.0
male,51-70,Sodium,mg,690.0
male,51-70,Potassium,mg,3800.0
male,71+,Energy,kJ,9500.0
male,71+,Protein,g,81.0
male,71+,Total water,L,3400.0
male,71+,Thiamin (B1),mg,1.2
male,71+,Riboflavin (B2),mg,1.6
male,71+,Niacin,mg,16.0
male,71+,Pyridoxine (B6),mg,1.7
male,71+,Cobalamin (B12),μg,2.4
male,71+,Vitamin A,μg,900.0
male,71+,Vitamin C,mg,45.0
male,71+,Vitamin D,μg,15.0
male,71+,Vitamin E,mg,10.0
male,71+,Calcium,mg,1300.0
male,71+,Phosphorus,mg,1000.0
male,71+,Zinc,mg,14.0
male,71+,Iron,mg,8.0
male,71+,Magnesium,mg,420.0
male,71+,Sodium,mg,690.0
male,71+,Potassium,mg,3800.0
female,19-30,Energy,kJ,9600.0
female,19-30,Protein,g,46.0
female,19-30,Total water,L,2800.0
female,19-30,Thiamin (B1),mg,1.1
female,19-30,Riboflavin (B2),mg,1.1
female,19-30,Niacin,mg,14.0
female,19-30,Pyridoxine (B6),mg,1.3
female,19-30,Cobalamin (B12),μg,2.4
female,19-30,Vitamin A,μg,700.0
female,19-30,Vitamin C,mg,45.0
female,19-30,Vitamin D,μg,5.0
female,19-30,Vitamin E,mg,7.0
female,19-30,Calcium,mg,1000.0
female,19-30,Phosphorus,mg,1000.0
female,19-30,Zinc,mg,8.0
female,19-30,Iron,mg,18.0
female,19-30,Magnesium,mg,310.0
female,19-30,Sodium,mg,690.0
female,19-30,Potassium,mg,2800.0
female,31-50,Energy,kJ,9100.0
female,31-50,Protein,g,46.0
female,31-50,Total water,L,2800.0
female,31-50,Thiamin (B1),mg,1.1
female,31-50,Riboflavin (B2),mg,1.1
female,31-50,Niacin,mg,14.0
female,31-50,Pyridoxine (B6),mg,1.3
female,31-50,Cobalamin (B12),μg,2.4
female,31-50,Vitamin A,μg,700.0
female,31-50,Vitamin C,mg,45.0
female,31-50,Vitamin D,μg,5.0
female,31-50,Vitamin E,mg,7.0
female,31-50,Calcium,mg,1000.0
female,31-50,Phosphorus,mg,1000.0
female,31-50,Zinc,mg,8.0
female,31-50,Iron,mg,18.0
female,31-50,Magnesium,mg,320.0
female,31-50,Sodium,mg,690.0
female,31-50,Potassium,mg,2800.0
female,51-70,Energy,kJ,8700.0
female,51-70,Protein,g,46.0
female,51-70,Total water,L,2800.0
female,51-70,Thiamin (B1),mg,1.1
female,51-70,Riboflavin (B2),mg,1.1
female,51-70,Niacin,mg,14.0
female,51-70,Pyridoxine (B6),mg,1.5
female,51-70,Cobalamin (B12),μg,2.4
female,51-70,Vitamin A,μg,700.0
female,51-70,Vitamin C,mg,45.0
female,51-70,Vitamin D,μg,10.0
female,51-70,Vitamin E,mg,7.0
female,51-70,Calcium,mg,1300.0
female,51-70,Phosphorus,mg,1000.0
female,51-70,Zinc,mg,8.0
female,51-70,Iron,mg,8.0
female,51-70,Magnesium,mg,320.0
female,51-70,Sodium,mg,690.0
female,51-70,Potassium,mg,2800.0
female,71+,Energy,kJ,8300.0
female,71+,Protein,g,57.0
female,71+,Total water,L,2800.0
female,71+,Thiamin (B1),mg,1.1
female,71+,Riboflavin (B2),mg,1.3
female,71+,Niacin,mg,14.0
female,71+,Pyridoxine (B6),mg,1.5
female,71+,Cobalamin (B12),μg,2.4
female,71+,Vitamin A,μg,700.0
female,71+,Vitamin C,mg,45.0
female,71+,Vitamin D,μg,15.0
female,71+,Vitamin E,mg,7.0
female,71+,Calcium,mg,1300.0
female,71+,Phosphorus,mg,1000.0
female,71+,Zinc,mg,8.0
female,71+,Iron,mg,8.0
female,71+,Magnesium,mg,320.0
female,71+,Sodium,mg,690.0
female,71+,Potassium,mg,2800.0
