gender,age_start,age_end_inclusive,nutrient_lower,daily_requirement_microgram_lower_bound,daily_requirement_microgram_upper_bound
male,71,1000,iron,8000,8000
male,71,1000,magnesium,420000,420000
male,71,1000,potassium,3800000,3800000
male,71,1000,sodium,460000,920000
male,71,1000,zinc,14000,14000
female,1,3,protein,14000000,14000000
female,1,3,"fluids (including plain water, milk and other drinks)",1000000000,1000000000
female,1,3,fibre,14000000,14000000
female,1,3,vitamin a,300,300
female,1,3,thiamin,500,500
female,1,3,riboflavin,500,500
female,1,3,niacin,6000,6000
female,1,3,vitamin b6,500,500
female,1,3,vitamin b12,0.9,0.9
female,1,3,folate,150,150
female,1,3,vitamin c,35000,35000
female,1,3,calcium,500000,500000
female,1,3,iodine,90,90
female,1,3,iron,9000,9000
female,1,3,magnesium,80000,80000
female,1,3,potassium,2000000,2000000
female,1,3,sodium,200000,400000
female,1,3,zinc,3000,3000
female,4,8,protein,20000000,20000000
female,4,8,"fluids (including plain water, milk and other drinks)",1200000000,1200000000
female,4,8,fibre,18000000,18000000
female,4,8,vitamin a,400,400
female,4,8,thiamin,600,600
female,4,8,riboflavin,600,600
female,4,8,niacin,8000,8000
female,4,8,vitamin b6,600,600
female,4,8,vitamin b12,1.2,1.2
female,4,8,folate,200,200
female,4,8,vitamin c,35000,35000
female,4,8,calcium,700000,700000
female,4,8,iodine,90,90
female,4,8,iron,10000,10000
female,4,8,magnesium,130000,130000
female,4,8,potassium,2300000,2300000
female,4,8,sodium,300000,600000
female,4,8,zinc,4000,4000
female,9,13,protein,35000000,35000000
female,9,13,"fluids (including plain water, milk and other drinks)",1400000000,1400000000
female,9,13,fibre,20000000,20000000
female,9,13,vitamin a,600,600
female,9,13,thiamin,900,900
female,9,13,riboflavin,900,900
female,9,13,niacin,12000,12000
female,9,13,vitamin b6,1000,1000
female,9,13,vitamin b12,1.8,1.8
female,9,13,folate,300,300
female,9,13,vitamin c,40000,40000
